Customer ID,Customer Name,Segment,Total_Orders,Total_Revenue,First_Order,Last_Order
SM-20320,Sean Miller,Home Office,5,146749.77,2014-03-18 00:00:00,2017-10-12 00:00:00
AB-10105,Adrian Barton,Consumer,10,143857.71,2014-12-20 00:00:00,2017-11-19 00:00:00
TC-20980,Tamara Chand,Corporate,5,92602.57,2014-11-07 00:00:00,2016-11-26 00:00:00
BM-11140,Becky Martin,Consumer,4,88175.27,2014-09-08 00:00:00,2017-02-26 00:00:00
JH-15985,Joseph Holt,Consumer,6,80520.04,2014-08-09 00:00:00,2017-12-01 00:00:00
KL-16645,Ken Lonsdale,Consumer,12,74912.31,2014-07-25 00:00:00,2017-11-13 00:00:00
GT-14710,Greg Tran,Consumer,11,73016.05,2014-05-23 00:00:00,2017-11-24 00:00:00
ME-17320,Maria Etezadi,Home Office,10,71594.3,2014-01-06 00:00:00,2017-11-18 00:00:00
BS-11365,Bill Shonely,Corporate,5,71586.33,2014-05-04 00:00:00,2016-06-20 00:00:00
PO-18850,Patrick O'Brill,Consumer,11,69297.41,2014-11-02 00:00:00,2017-12-26 00:00:00
TA-21385,Tom Ashbrook,Home Office,4,66671.7,2014-09-12 00:00:00,2017-10-22 00:00:00
NP-18700,Nora Preis,Consumer,7,65829.83,2014-09-05 00:00:00,2017-08-14 00:00:00
KF-16285,Karen Ferguson,Home Office,7,65603.56,2014-09-26 00:00:00,2017-09-24 00:00:00
DR-12940,Daniel Raglin,Home Office,8,65092.94,2014-03-28 00:00:00,2017-11-10 00:00:00
SV-20365,Seth Vernon,Consumer,10,62921.52,2014-01-11 00:00:00,2017-09-20 00:00:00
SC-20095,Sanjit Chand,Consumer,9,62679.33,2014-02-12 00:00:00,2017-01-15 00:00:00
HW-14935,Helen Wasserman,Corporate,8,61663.32,2015-09-27 00:00:00,2017-09-04 00:00:00
RB-19360,Raymond Buch,Consumer,6,61131.75,2016-04-01 00:00:00,2017-09-25 00:00:00
SE-20110,Sanjit Engle,Consumer,11,54899.52,2014-04-11 00:00:00,2017-12-21 00:00:00
AH-10690,Anna Hberlin,Corporate,12,54393.22,2014-04-02 00:00:00,2016-11-15 00:00:00
